S/N,Level,Type,Part No,Part Rev,Part Status,Latest,Nomenclature,Drawing Sheets,Instance ID,Instance ID 총수량(D/L DB),Instance ID 총수량(ALL DB),Qty,NextPart
1,0,SWBS,E7Z0002-001,-,Release,T,"FA-50M FINAL ASSEMBLY & SYSTEM OPERATION, VERSION POLAND",1,E7Z0002-001,,1.0,,
2,1,General,85N0056-001,-,Release,T,EXTERNAL MARKING ASSY,,85N0055-001,,2.0,1.0,E7Z0002-001
9,1,General,85N0056-011,-,Release,T,EXTERNAL MARKING ASSY,,85N0055-011,,4.0,1.0,E7Z0002-001
22,1,General,85N0056-021,-,Release,T,EXTERNAL MARKING ASSY,,85N0055-021,,3.0,1.0,E7Z0002-001
33,1,General,85S5300-451,A,Release,T,EQPT INSTL,,85S5300-101,,5.0,1.0,E7Z0002-001
37,1,General,85S5400-451,-,Release,T,SWITCH INSTL,,85S5400-101,,4.0,1.0,E7Z0002-001
40,1,General,85Z0014-001,-,Release,T,LOOSE EQUIPMENT,,85Z0004-041,,2.0,1.0,E7Z0002-001
42,1,SWBS,E7B0001-111,C,Release,T,FUSELAGE ASSY,1,E6B0001-211,,8.0,1.0,E7Z0002-001
42618,1,SWBS,E7R0002-001,-,Release,T,FA-50M Retrofit TOP,,,,,1.0,E7Z0002-001
42619,1,General,E7S7700-111,-,Release,T,"LAUNCHER, GUIDED MISSILE, AIRCRAFT, INSTL",1,E7S7700-111,,1.0,1.0,E7Z0002-001
42632,1,General,E7Z0026-111,-,Release,T,"LOOSE EQUIPMENT, FLY- FA-50M",1,E7Z0026-111,,1.0,1.0,E7Z0002-001
42676,1,SWBS,E7Z9994-101,-,Release,T,"MISSION EQUIPMENT PACKAGE, AIRBORNE COMMAND AND CONTROL SYSTEM",1,E7Z9994-101,,1.0,1.0,E7Z0002-001
3,2,General,85N0056-005,-,Release,T,MARKING,,85N5001-005,,3.0,1.0,85N0056-001
4,2,General,85N0056-009,-,Release,T,MARKING,,85N5001-009,,3.0,2.0,85N0056-001
5,2,General,85N0056-015,-,Release,T,MARKING,,85N5001-015,,3.0,1.0,85N0056-001
6,2,General,85N0056-035,-,Release,T,MARKING,,85N5001-035,,2.0,1.0,85N0056-001
7,2,General,85N0056-037,-,Release,T,MARKING,,85N5001-037,,2.0,1.0,85N0056-001
8,2,General,85N0056-039,-,Release,T,MARKING,,85N5001-039,,3.0,1.0,85N0056-001
10,2,General,85N0056-003,-,Release,T,MARKING,,85N5001-003,,3.0,2.0,85N0056-011
11,2,General,85N0056-005,-,Release,T,MARKING,,85N5001-005,,3.0,1.0,85N0056-011
12,2,General,85N0056-007,-,Release,T,MARKING,,85N5001-007,,3.0,1.0,85N0056-011
13,2,General,85N0056-009,-,Release,T,MARKING,,85N5001-009,,3.0,1.0,85N0056-011
14,2,General,85N0056-015,-,Release,T,MARKING,,85N5001-015,,3.0,1.0,85N0056-011
15,2,General,85N0056-017,-,Release,T,MARKING,,85N5001-017,,5.0,2.0,85N0056-011
16,2,General,85N0056-019,-,Release,T,MARKING,,85N5001-019,,3.0,1.0,85N0056-011
17,2,General,85N0056-023,-,Release,T,MARKING,,85N5001-023,,3.0,1.0,85N0056-011
18,2,General,85N0056-025,-,Release,T,MARKING,,85N5001-025,,3.0,1.0,85N0056-011
19,2,General,85N0056-027,-,Release,T,MARKING,,85N5001-027,,3.0,1.0,85N0056-011
20,2,General,85N0056-029,-,Release,T,MARKING,,85N5001-029,,3.0,1.0,85N0056-011
21,2,General,85N0056-033,-,Release,T,MARKING,,85N5001-033,,4.0,1.0,85N0056-011
23,2,General,85N0056-003,-,Release,T,MARKING,,85N5001-003,,3.0,2.0,85N0056-021
24,2,General,85N0056-005,-,Release,T,MARKING,,85N5001-005,,3.0,1.0,85N0056-021
25,2,General,85N0056-007,-,Release,T,MARKING,,85N5001-007,,3.0,1.0,85N0056-021
26,2,General,85N0056-009,-,Release,T,MARKING,,85N5001-009,,3.0,1.0,85N0056-021
27,2,General,85N0056-013,-,Release,T,MARKING,,85N5001-013,,3.0,1.0,85N0056-021
28,2,General,85N0056-015,-,Release,T,MARKING,,85N5001-015,,3.0,1.0,85N0056-021
29,2,General,85N0056-017,-,Release,T,MARKING,,85N5001-017,,5.0,1.0,85N0056-021
30,2,General,85N0056-023,-,Release,T,MARKING,,85N5001-023,,3.0,1.0,85N0056-021
31,2,General,85N0056-025,-,Release,T,MARKING,,85N5001-025,,3.0,1.0,85N0056-021
32,2,General,85N0056-029,-,Release,T,MARKING,,85N5001-029,,3.0,1.0,85N0056-021
34,2,Commercial,85VS000190-303,F,Release,T,CONTROL UNIT - GUN,1,85VS000190-003,,8.0,1.0,85S5300-451
35,2,Standard,NAS1149D0332K,-,Release,T,WASHER,,,,,4.0,85S5300-451
36,2,Standard,NAS6603-3,-,Release,T,BOLT,,,,,4.0,85S5300-451
38,2,Standard,85TV1084-3-5,-,Release,T,SWITCH,,,,,1.0,85S5400-451
39,2,Material,MS20995C32.-.W,-,Release,T,LOCKWIRE,,,,,9999.0,85S5400-451
41,2,Commercial,85VK000113-013,-,Release,T,APRON RESTRAINT ASSY,,85VK000113-003,,2.0,1.0,85Z0014-001
43,2,General,85B6172-151,A,Release,T,LINK INSTL,,85B6111-101,,4.0,1.0,E7B0001-111
53,2,General,85B6660-151,-,Release,T,FAIRING INSTL,,85B6660-101,,5.0,1.0,E7B0001-111
147,2,General,85E1214-401,A,Release,T,EQUIP INSTL,,85E1214-201,,2.0,1.0,E7B0001-111
157,2,General,85E1215-201,B,Release,T,EQUIP INSTL,,85E1215-101,,11.0,1.0,E7B0001-111
165,2,General,85E1300-601,A,Release,T,INSTL,1,85E1300-601,,2.0,1.0,E7B0001-111
171,2,General,85E1314-201,D,Release,T,EQUIP INSTL,,85E1315-101,,21.0,1.0,E7B0001-111
178,2,General,85E1500-201,A,Release,T,EQUIP INSTL,,85E1500-101,,5.0,1.0,E7B0001-111
187,2,General,85E1700-611,A,Release,T,INSTL,3,85E1700-611,,2.0,1.0,E7B0001-111
198,2,General,85E1710-601,B,Release,T,"SELECTOR, ANTENNA, INSTL",1,85E1710-601,,3.0,1.0,E7B0001-111
203,2,General,85E1715-201,B,Release,T,EQUIP INSTL,,85E1715-101,,4.0,1.0,E7B0001-111
210,2,General,85E5100-201,B,Release,T,EQUIP INSTL,,85E5100-101,,11.0,1.0,E7B0001-111
218,2,General,85E5110-201,A,Release,T,EQUIP INSTL,,85E5100-101,,11.0,1.0,E7B0001-111
229,2,General,85E6000-601,A,Release,T,"STATIC DISCHARGER,INSTL",1,85E6000-601,,2.0,1.0,E7B0001-111
238,2,General,85E6300-201,A,Release,T,EQUIP INSTL,,85E6300-101,,5.0,1.0,E7B0001-111
246,2,General,85E6400-201,A,Release,T,EQUIPMENT INSTL,,85E6400-101,,4.0,1.0,E7B0001-111
252,2,General,85L6100-601,-,Release,T,TAIL HOOK INSTALLATION,1,85L6100-601,,1.0,1.0,E7B0001-111
317,2,General,85P5750-101,A,Release,T,SHAFT INSTL,,85P5740-101,,6.0,1.0,E7B0001-111
324,2,General,E1P5150-111,A,Release,T,ENGINE INSTL,2,E1P5150-111,,2.0,1.0,E7B0001-111
357,2,General,E6E1100-101,-,Release,T,"EQUIP INSTL, AESA ANTENNA",1,E6E1100-101,,1.0,1.0,E7B0001-111
364,2,General,E6E1200-101,A,Release,T,"EQUIP INSTL, CHIRP, PCU",1,E6E1200-101,,2.0,1.0,E7B0001-111
378,2,General,E6E1203-101,A,Release,T,"EQUIP INSTL, FLIGHT CONTROL COMPUTER",2,85E1203-601,,4.0,1.0,E7B0001-111
385,2,General,E6E1210-101,-,Release,T,"EQUIP INSTL, PROBE HEATER MONITOR ASSEMBLY",1,85E1210-201,,3.0,1.0,E7B0001-111
391,2,General,E6E1218-101,-,Release,T,"EQUIP INSTL, CONTROL INTERFERENCE BLANKER",1,E2E1218-101,,3.0,1.0,E7B0001-111
396,2,General,E6E1301-101,-,Release,T,"EQUIP INSTL, INTEGRATED MISSION DISPLAY COMPUTER",1,E2E1301-101,,5.0,1.0,E7B0001-111
404,2,General,E6E1311-101,-,Release,T,"EQUIP INSTL, COMBINED INTERROGATOR TRANSPONDER",1,E6E1311-101,,1.0,1.0,E7B0001-111
411,2,General,E6E1351-101,-,Release,T,"EQUIP INSTL, BEAM FORMING NETWORK",1,E6E1351-101,,1.0,1.0,E7B0001-111
415,2,General,E6E1370-101,-,Release,T,"EQUIP INSTL, ETHERNET SWITCH",1,E6E1370-101,,1.0,1.0,E7B0001-111
420,2,SWOFP,E6SW0003-111,A,Release,T,"OFP,SOFTWARE INDEX,FA-50GF",4,85SW0003-901,,5.0,1.0,E7B0001-111
450,2,SWBS,E7B0002-111,-,Release,T,FUSELAGE,1,E6B0002-211,,2.0,1.0,E7B0001-111
42368,2,General,E7E1201-201,-,Release,T,EQUIP INSTL - EMBEDDED GPS/INS,1,E3E1201-101,,1.0,1.0,E7B0001-111
42381,2,General,E7E1216-101,-,Release,T,"EQUIP INSTL, CDDF ANTENNA",1,85E1216-601,,7.0,1.0,E7B0001-111
42388,2,General,E7E1302-101,-,Release,T,"EQUIP INSTL, U/VHF RADIO",1,E6E1302-101,,2.0,1.0,E7B0001-111
42397,2,General,E7E1315-111,-,Release,T,EQUIP INSTL - IMFP,3,85E1315-221,,11.0,1.0,E7B0001-111
42407,2,General,E7E1703-101,-,Release,T,"EQUIP INSTL, RADAR WARNING RECEIVER ANALYZER",1,E7E1703-101,,1.0,1.0,E7B0001-111
42417,2,General,E7E1707-101,A,Release,T,"EQUIP INSTL, DATALINK",1,E7E1707-101,,2.0,1.0,E7B0001-111
42482,2,General,E7F2800-101,-,Release,T,"EQUIP INSTL, HEAD UP DISPLAY",2,E1F2800-101,,7.0,1.0,E7B0001-111
42503,2,General,E7N0004-101,-,Release,T,MARKING INSTL ? ACCESS PANELS,1,E6N0004-201,,1.0,1.0,E7B0001-111
42504,2,General,E7N0034-101,-,Release,T,"MARKING, SERVICE SYMBOL INSTL",2,E6N0034-101,,1.0,1.0,E7B0001-111
42516,2,General,E7N0150-101,-,Release,T,EXTERNAL FINISH,2,E6N0150-201,,1.0,1.0,E7B0001-111
42520,2,General,E7N0156-101,-,Release,T,"MARKING, STENCIL",2,E6N0156-201,,1.0,1.0,E7B0001-111
42589,2,General,E7N2400-101,-,Release,T,NAME PLATE,1,E6N2400-201,,1.0,1.0,E7B0001-111
42592,2,SWBS,E7S5000-111,-,Release,T,"GUN, AUTOMATIC, 20 MILLIMETER, INSTL",2,E7S5000-111,,1.0,1.0,E7B0001-111
42620,2,General,85S7710-301,A,Release,T,LAUNCHER ASSY,,85S7710-001,,3.0,2.0,E7S7700-111
42633,2,General,85A5900-301,-,Release,T,"PIN, ASSY OF",,85A5900-001,,2.0,1.0,E7Z0026-111
42638,2,General,85A6900-301,-,Release,T,"PIN, ASSY OF",,85A6900-001,,2.0,1.0,E7Z0026-111
42642,2,General,85A6910-301,-,Release,T,"PIN,ASSY OF",,85A6910-001,,2.0,2.0,E7Z0026-111
42647,2,General,85A6920-301,-,Release,T,"PIN, ASSY OF",,85A6920-001,,2.0,1.0,E7Z0026-111
42652,2,General,85A9000-011,A,Release,T,"PIN,ASSY OF",,85A9000-001,,4.0,2.0,E7Z0026-111
42658,2,General,85A9001-011,A,Release,T,"PIN,ASSY OF",,85A9001-001,,3.0,2.0,E7Z0026-111
42666,2,General,85S5910-301,-,Release,T,"FLAG, ASSY OF",,85S5910-001,,3.0,2.0,E7Z0026-111
42674,2,Commercial,85VP8032-013,D,Release,T,WRENCH,1,85VP8032-013,,3.0,3.0,E7Z0026-111
42675,2,Commercial,E7VE010105-003,-,Release,F,"SAFETY PIN, FLAG, CMDS",1,85VE010105-613,,4.0,1.0,E7Z0026-111
42677,2,SWBS,E7PF8100-111,-,Release,T,"INSTALLATION KIT,TANK,FUEL,AIRCRAFT",1,85PF8100-201,,1.0,1.0,E7Z9994-101
42679,2,SWBS,E7S2100-111,A,Release,T,"PYLON, INSTL, OUTBD, WING",1,E1S2100-111,,2.0,1.0,E7Z9994-101
42920,2,SWBS,E7S2200-111,A,Release,T,"PYLON,AIRCRAFT,INSTL",1,E1S2200-111,,5.0,1.0,E7Z9994-101
43281,2,SWBS,E7S2300-111,-,Release,T,"PYLON,AIRCRAFT,INSTL",,E1S2300-111,,3.0,1.0,E7Z9994-101
43458,2,SWBS,E7S2400-111,-,Release,T,"WIRING HARNESS, INSTL",1,E7S2400-111,,1.0,1.0,E7Z9994-101
44,3,General,85B6172-051,C,Release,T,LINK ASSY OF,1,85B6111-001,,8.0,1.0,85B6172-151
48,3,Standard,85TV0106V10-37,-,Release,T,BOLT,,,,,1.0,85B6172-151
49,3,Standard,MS14145L9,-,Release,T,NUT,,,,,1.0,85B6172-151
50,3,Standard,MS20002-9,-,Release,T,WASHER,,,,,1.0,85B6172-151
51,3,Standard,MS20002C10,-,Release,T,WASHER,,,,,1.0,85B6172-151
52,3,Standard,MS24665-370,-,Release,T,PIN,,,,,1.0,85B6172-151
54,3,General,85B6661-051,B,Release,T,FAIRING ASSY,,85B6661-001,,23.0,1.0,85B6660-151
137,3,General,85B6663-051,B,Release,T,STRAP ASSY,1,85B6663-051,,1.0,1.0,85B6660-151
144,3,Material,85TB0103A016.-.NA,-,Release,T,SHIM STOCK,,,,,9999.0,85B6660-151
145,3,Material,FMS-1044-TYV.-.NA,A,Release,T,SEALANT,,,,,9999.0,85B6660-151
146,3,Material,FMS-3075-FR1.-.NA,A,Release,T,ADHESIVE,,,,,9999.0,85B6660-151
148,3,Material,85TB5269-1-25.-.NA,-,Release,T,TAPE,,,,,9999.0,85E1214-401
149,3,Material,85TB5393-1.-.NA,-,Release,T,TAPE,,,,,9999.0,85E1214-401
150,3,Standard,85TP1010-37,-,Release,T,STUD,,,,,1.0,85E1214-401
151,3,Commercial,85VC0009-103,C,Release,T,ANGLE OF SIDESLIP TRANSMITTER,1,85VC0009-003,,8.0,2.0,85E1214-401
152,3,Standard,MS21043-3,-,Release,T,NUT,,,,,3.0,85E1214-401
153,3,Standard,MS21919WDG10,-,Release,T,CLAMP,,,,,1.0,85E1214-401
154,3,Standard,MS21919WDG6,-,Release,T,CLAMP,,,,,2.0,85E1214-401
155,3,Standard,NAS43DD3-16N,-,Release,T,SPACER,,,,,1.0,85E1214-401
156,3,Standard,NAS43DD3-17N,-,Release,T,SPACER,,,,,2.0,85E1214-401
158,3,Material,85TB5269-1-25.-.NA,-,Release,T,TAPE,,,,,9999.0,85E1215-201
159,3,Material,85TB5393-1.-.NA,-,Release,T,TAPE,,,,,9999.0,85E1215-201
160,3,Material,85TB6109-3.-.NA,-,Release,T,COMPOUND,,,,,9999.0,85E1215-201
161,3,Commercial,85VE0014-103,B,Release,F,"ANTENNA, MARKER BEACON",1,85VE0014-003,,6.0,1.0,85E1215-201
162,3,Commercial,85VE8363-103,A,Release,F,ANTENNA GASKET,1,85VE8363-103,,2.0,1.0,85E1215-201
163,3,Material,FMS-1044-TYV.-.NA,A,Release,T,SEALANT,,,,,9999.0,85E1215-201
164,3,Standard,NAS1580A3T6,-,Release,T,BOLT,,,,,16.0,85E1215-201
166,3,Material,85TB5269-1-25.-.NA,-,Release,T,TAPE,,,,,9999.0,85E1300-601
167,3,Material,85TB5393-1.-.NA,-,Release,T,TAPE,,,,,9999.0,85E1300-601
168,3,Commercial,85VE000501-103,B,Release,T,"RECEIVER, VOR/ILS",1,85VE000501-103,,1.0,1.0,85E1300-601
169,3,Commercial,85VE000502-103,-,Release,T,"RACK, VOR/ILS VECEIVER",,85VE000502-003,,4.0,1.0,85E1300-601
170,3,Standard,NAS1101-08-16,-,Release,T,SCREW,,,,,4.0,85E1300-601
172,3,Material,85TB5269-1-25.-.NA,-,Release,T,TAPE,,,,,9999.0,85E1314-201
173,3,Material,85TB5393-1.-.NA,-,Release,T,TAPE,,,,,9999.0,85E1314-201
174,3,Material,85TB6109-3.-.NA,-,Release,T,COMPOUND,,,,,9999.0,85E1314-201
175,3,Commercial,85VC8006-103,A,Release,T,TAT,2,85VC8006-003,,4.0,1.0,85E1314-201
176,3,Material,FMS-1044-TYV.-.NA,A,Release,T,SEALANT,,,,,9999.0,85E1314-201
177,3,Standard,NAS1102-08-9,-,Release,T,SCREW,,,,,6.0,85E1314-201
179,3,Material,85TB5269-1-25.-.NA,-,Release,T,TAPE,,,,,9999.0,85E1500-201
180,3,Material,85TB5393-1.-.NA,-,Release,T,TAPE,,,,,9999.0,85E1500-201
181,3,Material,85TB6109-3.-.NA,-,Release,T,COMPOUND,,,,,9999.0,85E1500-201
182,3,Commercial,85VE0002-103,B,Release,F,"ANTENNA, U/VHF/TACAN",1,85VE0002-003,,5.0,1.0,85E1500-201
183,3,Commercial,85VE8360-103,A,Release,F,"ANTENNA GASKET, U/VHF/TACAN",1,85VE8360-103,,2.0,1.0,85E1500-201
184,3,Material,FMS-1044-TYV.-.NA,A,Release,T,SEALANT,,,,,9999.0,85E1500-201
185,3,Standard,NAS1580A3T10,-,Release,T,BOLT,,,,,8.0,85E1500-201
188,3,Material,85TB5269-1-25.-.NA,-,Release,T,TAPE,,,,,9999.0,85E1700-611
189,3,Material,85TB5393-1.-.NA,-,Release,T,TAPE,,,,,9999.0,85E1700-611
190,3,Standard,85TP1022-2,-,Release,T,PLATE,,,,,1.0,85E1700-611
191,3,Commercial,85VE000101-103,F,Release,T,"PROCESSOR,R/T,RADAR ALTIMETER",2,85VE000101-003,,13.0,1.0,85E1700-611
192,3,Commercial,85VE000102-603,A,Release,T,RACK - RADAR ALTIMETER,1,85VE000102-003,,5.0,1.0,85E1700-611
193,3,Commercial,85VE010601-613,B,Release,F,"COMPUTER,STORES MANAGEMENT SYSTEM",2,85VE010601-613,,4.0,1.0,85E1700-611
194,3,Commercial,85VE100702-103,D,Release,F,"RACK,SMS",1,85VE100702-103,,6.0,1.0,85E1700-611
195,3,Standard,NAS1578A3T3,-,Release,T,BOLT,,,,,8.0,85E1700-611
196,3,Standard,NAS1578A3T4,-,Release,T,BOLT,,,,,8.0,85E1700-611
197,3,Standard,NAS1581C3T2,-,Release,T,BOLT,,,,,4.0,85E1700-611
199,3,Material,85TB5269-1-25.-.NA,-,Release,T,TAPE,,,,,9999.0,85E1710-601
200,3,Material,85TB5393-1.-.NA,-,Release,T,TAPE,,,,,9999.0,85E1710-601
201,3,Commercial,85VE700203-103,A,Release,F,ANTENNA SELECT UNIT,1,85VE700203-003,,5.0,1.0,85E1710-601
202,3,Standard,NAS1578A3T4,-,Release,T,BOLT,,,,,4.0,85E1710-601
204,3,Material,85TB5269-1-25.-.NA,-,Release,T,TAPE,,,,,9999.0,85E1715-201
205,3,Material,85TB5393-1.-.NA,-,Release,T,TAPE,,,,,9999.0,85E1715-201
206,3,Material,85TB6109-3.-.NA,-,Release,T,COMPOUND,,,,,9999.0,85E1715-201
207,3,Commercial,85VE000103-103,B,Release,T,"ANTENNA, RADAR ALTIMETER",1,85VE000103-003,,6.0,2.0,85E1715-201
208,3,Material,FMS-1044-TYV.-.NA,A,Release,T,SEALANT,,,,,9999.0,85E1715-201
209,3,Standard,NAS1102-3-10,-,Release,T,SCREW,,,,,16.0,85E1715-201
211,3,Material,85TB5269-1-25.-.NA,-,Release,T,TAPE,,,,,9999.0,85E5100-201
212,3,Material,85TB5393-1.-.NA,-,Release,T,TAPE,,,,,9999.0,85E5100-201
213,3,Material,85TB6109-3.-.NA,-,Release,T,COMPOUND,,,,,9999.0,85E5100-201
214,3,Commercial,85VE0011-103,-,Release,T,"ANTENNA, GPS",,85VE0011-003,,3.0,1.0,85E5100-201
215,3,Commercial,85VE8362-103,-,Release,T,"ANTENNA, GASKET",,85VE8362-003,,2.0,1.0,85E5100-201
216,3,Material,FMS-1044-TYV.-.NA,A,Release,T,SEALANT,,,,,9999.0,85E5100-201
217,3,Standard,NAS1580C3T12,-,Release,T,BOLT,,,,,4.0,85E5100-201
219,3,Material,85TB5269-1-25.-.NA,-,Release,T,TAPE,,,,,9999.0,85E5110-201
220,3,Material,85TB5393-1.-.NA,-,Release,T,TAPE,,,,,9999.0,85E5110-201
221,3,Material,85TB6109-3.-.NA,-,Release,T,COMPOUND,,,,,9999.0,85E5110-201
222,3,Commercial,85VE0002-103,B,Release,F,"ANTENNA, U/VHF/TACAN",1,85VE0002-003,,5.0,1.0,85E5110-201
223,3,Commercial,85VE0003-103,B,Release,F,"ANTENNA, IFF",1,85VE0003-003,,5.0,1.0,85E5110-201
224,3,Commercial,85VE8360-103,A,Release,F,"ANTENNA GASKET, U/VHF/TACAN",1,85VE8360-103,,2.0,1.0,85E5110-201
225,3,Commercial,85VE8361-103,A,Release,F,ANTENNA GASKET,1,85VE8361-103,,2.0,1.0,85E5110-201
226,3,Material,FMS-1044-TYV.-.NA,A,Release,T,SEALANT,,,,,9999.0,85E5110-201
227,3,Standard,NAS1102-06-10,-,Release,T,SCREW,,,,,6.0,85E5110-201
228,3,Standard,NAS1580C3T11,-,Release,T,BOLT,,,,,8.0,85E5110-201
230,3,General,85E6000-073,-,Release,T,TUBING,,85E6000-003,,2.0,15.0,85E6000-601
232,3,General,85E6000-075,-,Release,T,TUBING,,85E6000-005,,2.0,15.0,85E6000-601
234,3,Material,85TB6010-1.-.NA,-,Release,T,ADHESIVE,,,,,9999.0,85E6000-601
235,3,Standard,85TV1106-1,-,Release,T,DISCHARGER,,,,,1.0,85E6000-601
236,3,Standard,85TV1106-4,-,Release,T,DISCHARGER,,,,,9.0,85E6000-601
237,3,Material,FMS-1058-2.-.NA,-,Release,T,PRIMER,,,,,9999.0,85E6000-601
239,3,Material,85TB5269-1-25.-.NA,-,Release,T,TAPE,,,,,9999.0,85E6300-201
240,3,Material,85TB5393-1.-.NA,-,Release,T,TAPE,,,,,9999.0,85E6300-201
241,3,Material,85TB6109-3.-.NA,-,Release,T,COMPOUND,,,,,9999.0,85E6300-201
242,3,Commercial,85VE0003-103,B,Release,F,"ANTENNA, IFF",1,85VE0003-003,,5.0,1.0,85E6300-201
243,3,Commercial,85VE8361-103,A,Release,F,ANTENNA GASKET,1,85VE8361-103,,2.0,1.0,85E6300-201
244,3,Material,FMS-1044-TYV.-.NA,A,Release,T,SEALANT,,,,,9999.0,85E6300-201
245,3,Standard,NAS1102-06-8,-,Release,T,SCREW,,,,,6.0,85E6300-201
247,3,Material,85TB5269-1-25.-.NA,-,Release,T,TAPE,,,,,9999.0,85E6400-201
248,3,Material,85TB5393-1.-.NA,-,Release,T,TAPE,,,,,9999.0,85E6400-201
249,3,Standard,85TP1022-2,-,Release,T,PLATE,,,,,1.0,85E6400-201
250,3,Commercial,85VE7003-103,D,Release,T,VADR,1,85VE7003-103,,1.0,1.0,85E6400-201
251,3,Standard,NAS6204-4,-,Release,T,BOLT,,,,,4.0,85E6400-201
253,3,General,85L6100-303,-,Release,T,PIN,,85L6100-003,,3.0,1.0,85L6100-601
255,3,General,85L6100-307,A,Release,T,CLEVIS,,85L6100-007,,4.0,1.0,85L6100-601
257,3,General,85L6100-415,-,Release,T,BUMPER,,85L6100-315,,1.0,1.0,85L6100-601
259,3,General,85L6101-301,A,Release,T,SHANK ASSY,1,85L6101-001,,4.0,1.0,85L6100-601
277,3,General,85L6102-301,B,Release,T,"CRANK,ASSY OF",,85L6102-001,,8.0,1.0,85L6100-601
283,3,General,85L6102-315,-,Release,T,BOLT,,85L6102-005,,3.0,1.0,85L6100-601
285,3,General,85L6104-303,-,Release,T,COLLAR,,85L6104-303,,1.0,1.0,85L6100-601
287,3,Material,85TB5269-1-25.-.NA,-,Release,T,TAPE,,,,,9999.0,85L6100-601
288,3,Material,85TB5289-1.-.NA,-,Release,T,TAPE,,,,,9999.0,85L6100-601
289,3,Material,85TB5393-1.-.NA,-,Release,T,TAPE,,,,,9999.0,85L6100-601
290,3,Material,85TB5434-1-4.-.NA,-,Release,T,WRAPPING,,,,,9999.0,85L6100-601
291,3,Standard,85TP1006-6,-,Release,T,BRACKET,,,,,1.0,85L6100-601
292,3,Standard,85TV1026-10R,-,Release,T,NUT,,,,,1.0,85L6100-601
293,3,Standard,85TV1034-6D1000,-,Release,T,BOLT,,,,,1.0,85L6100-601
294,3,Standard,85TV1100-0403L,-,Release,T,REDUCER,,,,,1.0,85L6100-601
295,3,Standard,85TV1373C14H276,-,Release,T,HOSE ASSY,,,,,1.0,85L6100-601
296,3,Commercial,85VL8302-013,E,Release,T,ACTUATOR ASSY,1,85VL8601-003,,10.0,1.0,85L6100-601
297,3,Commercial,85VL8608-013,B,Release,T,COUPLING HALF,1,85VL8608-003,,4.0,1.0,85L6100-601
298,3,Material,AMS-G-4343.-.NA,-,Release,T,GREASE,,,,,9999.0,85L6100-601
299,3,Standard,AN970-4,-,Release,T,WASHER,,,,,2.0,85L6100-601
300,3,Standard,MS14144L4,-,Release,T,NUT,,,,,1.0,85L6100-601
301,3,Standard,MS14145L5,-,Release,T,NUT,,,,,1.0,85L6100-601
302,3,Standard,MS20002-9,-,Release,T,WASHER,,,,,1.0,85L6100-601
303,3,Standard,MS20392-3C61,-,Release,T,PIN,,,,,1.0,85L6100-601
304,3,Material,MS20995C32.-.W,-,Release,T,LOCKWIRE,,,,,9999.0,85L6100-601
305,3,Standard,MS21042L5,-,Release,T,NUT,,,,,1.0,85L6100-601
306,3,Standard,MS21085L09,-,Release,T,NUT,,,,,1.0,85L6100-601
307,3,Standard,MS21296-09028,-,Release,T,BOLT,,,,,1.0,85L6100-601
308,3,Standard,MS21919WDG8,-,Release,T,CLAMP,,,,,1.0,85L6100-601
309,3,Standard,MS24665-153,-,Release,T,PIN,,,,,3.0,85L6100-601
310,3,Standard,MS27240-1,-,Release,T,SWITCH,,,,,1.0,85L6100-601
311,3,Standard,MS28778-3,-,Release,T,PACKING,,,,,1.0,85L6100-601
312,3,Standard,MS35207-263,-,Release,T,SCREW,,,,,1.0,85L6100-601
313,3,Standard,NAS1149D0416J,-,Release,T,WASHER,,,,,1.0,85L6100-601
314,3,Standard,NAS1149D0616K,-,Release,T,WASHER,,,,,2.0,85L6100-601
315,3,Standard,NAS6204-16DH,-,Release,T,BOLT,,,,,1.0,85L6100-601
316,3,Standard,NAS6304-7,-,Release,T,BOLT,,,,,2.0,85L6100-601
318,3,Material,85TB5269-1-25.-.NA,-,Release,T,TAPE,,,,,9999.0,85P5750-101
319,3,Material,85TB5393-1.-.NA,-,Release,T,TAPE,,,,,9999.0,85P5750-101
320,3,Commercial,85VP0008-013,E,Release,T,SHAFT,1,85VP0008-003,,8.0,1.0,85P5750-101
321,3,Material,MIL-PRF-7808.-.NA,-,Release,T,LUBRICATING OIL,,,,,9999.0,85P5750-101
322,3,Standard,NAS1149C0432R,-,Release,T,WASHER,,,,,6.0,85P5750-101
323,3,Standard,NAS1802-4-11,-,Release,T,SCREW,,,,,6.0,85P5750-101
325,3,General,85B5865-011,-,Release,T,"FITTING, ASSY OF",,85B5865-001,,4.0,1.0,E1P5150-111
337,3,Material,85TB5269-1-25.-.NA,-,Release,T,TAPE,,,,,9999.0,E1P5150-111
338,3,Material,85TB5393-1.-.NA,-,Release,T,TAPE,,,,,9999.0,E1P5150-111
339,3,Standard,85TV0153-12042,-,Release,T,BOLT,,,,,1.0,E1P5150-111
340,3,Standard,85TV0153-12054,-,Release,T,BOLT,,,,,1.0,E1P5150-111
341,3,Standard,85TV1028C1216,-,Release,T,WASHER,,,,,1.0,E1P5150-111
342,3,Standard,85TV1155-4,-,Release,T,PIN,,,,,1.0,E1P5150-111
343,3,Commercial,85VP8711-013,E,Release,F,FITTING,1,85VP8711-003,,11.0,1.0,E1P5150-111
344,3,Commercial,E1VP000101-015,-,Release,T,ENGINE,1,E1VP000101-015,,1.0,1.0,E1P5150-111
